自然资源局,成立日期,自然资源局,广发银行,土地交易信息(JKGT1),机动车信息表,厂企信息（网格）,商品房预售项目信息表,高新技术企业认定信息,统战部,出租屋详细信息,违法违章受处罚企业信息
政数局,操作类型,自然资源局,厂企信息（网格）,涉及职业危害作业场所,流动人口注销信息,道路运输经营信息采集表,律师基本信息采集表,广发银行,镇街2,组织机构代码变更信息,企业用户基本信息
公安,预计竣工日期,卫健局,失信被执行人信息（法人或其他组织）,法定代表人正式信息表,内资企业设立登记公告数据,出租屋详细信息,外国人入境就业信息(JKRS6),法院,建设项目情况信息(JKJS3),外商实际投资情况,社保局
政数局,人员状态,自然资源局,企业工法奖项信息,广发银行,企业用户基本信息,商品房预售项目信息表,佛山市安置残疾人单位信息(JKCL1),违法违章受处罚企业信息,<EOP>,单位房屋产权信息表,危险品仓库数据表
税务局,联系电话,自然资源局,出租屋详细信息,水费收集信息(包含企业用水信息),住房公积金个人公积金年度汇缴明细信息,单位房屋产权信息表,土地交易信息(JKGT1),统战部,商品房预售项目信息表,广发银行,危险品仓库数据表
检察院,户籍地址,企业用户基本信息,佛山市安置残疾人单位信息(JKCL1),<EOP>,自然资源局,企业工法奖项信息,工商联,农业银行,企业基本信息,涉及职业危害作业场所,公有资产管理信息
金融办,企业类型,自然资源局,土地交易信息(JKGT1),广发银行,镇街2,厂企信息（网格）,科技局,工商联,<EOP>,高新技术企业认定信息,道路运输经营信息采集表
行政服务中心,联系人,自然资源局,机动车信息表,广发银行,单位房屋产权信息表,商品房预售项目信息表,统战部,危险品仓库数据表,企业工法奖项信息,土地交易信息(JKGT1),<EOP>
公安,片区,卫健局,法定代表人正式信息表,失信被执行人信息（法人或其他组织）,内资企业设立登记公告数据,外国人入境就业信息(JKRS6),外商实际投资情况,名址库_门牌地址信息,出租屋详细信息,社保局,法院
纪委,电话,自然资源局,人口基础信息表,单位房屋产权信息表,广发银行,机动车信息表,危险品仓库数据表,违法违章受处罚企业信息,科技局,土地交易信息(JKGT1),商品房预售项目信息表
人才办,建筑类型,居住证业务有效表,外国人入境就业信息(JKRS6),组织机构代码信息,高企认定或拟认定名单,卫健局,流动人口注销信息,政数局,国税欠税信息,内资企业设立登记公告数据,法定代表人正式信息表
税务局,工程名称,卫健局,出租屋详细信息,失信被执行人信息（法人或其他组织）,法定代表人正式信息表,社保局,法院,建设项目情况信息(JKJS3),内资企业设立登记公告数据,镇街2,工商开业登记信息
自然资源局,年检有效期,机动车信息表,统战部,企业工法奖项信息,商品房预售项目信息表,自然资源局,企业用户基本信息,<EOP>,名址库_门牌地址信息,违法违章受处罚企业信息,土地交易信息(JKGT1)
农商行,备注,统战部,企业工法奖项信息,商品房预售项目信息表,机动车信息表,企业用户基本信息,自然资源局,危险品仓库数据表,单位房屋产权信息表,法院,<EOP>
纪委,统一社会信用代码,广发银行,自然资源局,出租屋详细信息,社会团体信息(JKMZ2),建设项目情况信息(JKJS3),高新技术企业认定信息,违法违章受处罚企业信息,组织机构代码变更信息,律师基本信息采集表,水费收集信息(包含企业用水信息)
税务局,籍贯,佛山市安置残疾人单位信息(JKCL1),企业用户基本信息,幼儿园,工商联,农业银行,涉及职业危害作业场所,<EOP>,企业工法奖项信息,公有资产管理信息,住房公积金个人公积金年度汇缴明细信息
经促局,更新时间,自然资源局,企业用户基本信息,企业工法奖项信息,流动人口注销信息,涉及职业危害作业场所,农业银行,流动人口表,名址库_门牌地址信息,镇街2,公有资产管理信息
政数局,核定载客,自然资源局,商品房预售项目信息表,统战部,违法违章受处罚企业信息,广发银行,企业工法奖项信息,危险品仓库数据表,机动车信息表,财政直接支付信息(JKCZ2),名址库_门牌地址信息
检察院,证书有效期,自然资源局,<EOP>,组织机构代码信息,广发银行,居住证业务有效表,组织机构代码变更信息,水费收集信息(包含企业用水信息),企业基本信息,违法违章受处罚企业信息,建设项目情况信息(JKJS3)
法院,法定代表人或负责人,建设项目情况信息(JKJS3),组织机构代码变更信息,广发银行,律师基本信息采集表,违法违章受处罚企业信息,自然资源局,水费收集信息(包含企业用水信息),镇街7,财政直接支付信息(JKCZ2),居住证业务有效表
政数局,发证日期,律师基本信息采集表,违法违章受处罚企业信息,广发银行,自然资源局,水费收集信息(包含企业用水信息),财政直接支付信息(JKCZ2),组织机构代码变更信息,名址库_门牌地址信息,厂企信息（网格）,统战部
