自然资源局,成立日期,工商开业登记信息,企业基本信息,组织机构代码信息,纳税信用等级纳税人备案信息,内资企业设立登记公告数据,统一社会信用代码,高新技术企业认定信息,重点建设项目计划信息,建设工程规划管理验收合格证,佛山市农业龙头企业信息
政数局,操作类型,用电量信息表,工贸企业安全生产标准化三级达标企业信息,住房公积金个人公积金年度汇缴明细信息,企业用户基本信息,吊销登记信息,对外贸易经营者备案登记情况,法定代表人正式信息表,工商开业登记信息,建设用地规划许可证信息,高新技术企业认定信息
公安,预计竣工日期,建设工程规划许可证信息JKGH2,建设用地规划许可证信息,外国文教类专家信息(JKRS1),佛山市安置残疾人单位信息(JKCL1),残疾人管理,佛山市农业龙头企业信息,发改局基建工程批准立项信息,幼儿园,违法违章受处罚企业信息,现场检查记录
政数局,人员状态,流动人口表,暂住证业务表,单位房屋产权信息表,厂企信息（网格）,人口基础信息表,流动人口登记表,社会团体信息(JKMZ2),企业基本信息,小作坊信息（网格）,重点建设项目计划信息
税务局,联系电话,高企认定或拟认定名单,厂企信息（网格）,民办非企业单位信息(JKMZ1),用气信息,小作坊信息（网格）,社会团体信息(JKMZ2),专业技术人员信息,残疾人基本信息,组织机构代码信息,水费收集信息(包含企业用水信息)
检察院,户籍地址,暂住证业务表,流动人口登记表,房屋建筑工程竣工验收备案信息(JKJS6),常住人口基本信息,住房公积金个人公积金年度汇缴明细信息,用气信息,出租屋详细信息,人口基础信息表,专业技术人员信息,工程建设单位项目业绩信息(JKJS17)
金融办,企业类型,工商开业登记信息,企业基本信息,内资企业设立登记公告数据,发改局基建工程批准立项信息,对外贸易经营者备案登记情况,变更登记信息,食品经营企业信息,水费收集信息(包含企业用水信息),佛山市农业龙头企业信息,国税欠税信息
行政服务中心,联系人,厂企信息（网格）,小作坊信息（网格）,慈善组织,涉及职业危害作业场所,社会团体信息(JKMZ2),高企认定或拟认定名单,流动人口登记表,用气信息,残疾人基本信息,暂住证业务表
公安,片区,外国文教类专家信息(JKRS1),建设用地规划许可证信息,出租屋详细信息,发改局基建工程批准立项信息,土地交易信息表,暂住证业务表,佛山市安置残疾人单位信息(JKCL1),流动人口登记表,建设工程规划许可证信息JKGH2,用电量信息表
纪委,电话,涉及职业危害作业场所,失信被执行人信息（法人或其他组织）,建设用地规划许可证信息,工商开业登记信息,行政许可信息（住建）,对外贸易经营者备案登记情况,用电量信息表,流动人口登记表,企业基本信息,现场检查记录
人才办,建筑类型,外国文教类专家信息(JKRS1),出租屋详细信息,流动人口登记表,失信被执行人信息（自然人）,建设工程规划许可证信息JKGH2,房地产交易信息(JKJS1),土地交易信息表,发改局基建工程批准立项信息,年度奖励扶持企业情况,建设用地规划许可证信息
税务局,工程名称,建设工程规划许可证信息JKGH2,房地产开发预售明细信息(JKJS2),外国文教类专家信息(JKRS1),佛山市安置残疾人单位信息(JKCL1),建设用地规划许可证信息,发改局基建工程批准立项信息,企业用水信息(JKGZ1),失信被执行人信息（自然人）,残疾人管理,民办非企业单位信息(JKMZ1)
自然资源局,年检有效期,企业基本信息,组织机构代码信息,重点建设项目计划信息,纳税信用等级纳税人备案信息,人口基础信息表,暂住证业务表,高新技术企业认定信息,单位房屋产权信息表,建设工程规划管理验收合格证,工商开业登记信息
农商行,备注,工商开业登记信息,律师基本信息采集表,住房公积金个人公积金年度汇缴明细信息,专业技术人员信息,企业用水信息(JKGZ1),高企认定或拟认定名单,建设用地规划许可证信息,国税欠税信息,失信被执行人信息（自然人）,统一社会信用代码
纪委,统一社会信用代码,财政直接支付信息(JKCZ2),幼儿园,企业用水信息(JKGZ1),统一社会信用代码,纳税信用等级纳税人备案信息,水费收集信息(包含企业用水信息),环保信用严管企业,建设工程规划许可证信息JKGH2,单位房屋产权信息表,吊销登记信息
税务局,籍贯,专业技术人员信息,外商投资企业新设信息表,流动人口表,流动人口登记表,常住人口基本信息,人口基础信息表,房屋建筑工程竣工验收备案信息(JKJS6),住房公积金个人公积金年度汇缴明细信息,律师基本信息采集表,暂住证业务表
经促局,更新时间,工商开业登记信息,用电量信息表,国税欠税信息,住房公积金个人公积金年度汇缴明细信息,变更登记信息,常住人口基本信息,企业用户基本信息,失信被执行人信息（自然人）,对外贸易经营者备案登记情况,土地交易信息表
政数局,核定载客,暂住证业务表,出租屋详细信息,单位房屋产权信息表,食品经营企业信息,工商开业登记信息,幼儿园,流动人口登记表,房地产交易信息(JKJS1),重点建设项目计划信息,民办非企业单位信息(JKMZ1)
检察院,证书有效期,工贸企业安全生产标准化三级达标企业信息,高新技术企业认定信息,幼儿园,佛山市农业龙头企业信息,发改局基建工程批准立项信息,建设工程规划许可证信息JKGH2,组织机构代码信息,建设用地规划许可证信息,现场检查记录,单位房屋产权信息表
法院,法定代表人或负责人,纳税信用等级纳税人备案信息,国税欠税信息,单位房屋产权信息表,食品经营企业信息,财政直接支付信息(JKCZ2),幼儿园,建设工程规划管理验收合格证,企业基本信息,环保信用严管企业,暂住证业务表
政数局,发证日期,幼儿园,食品经营企业信息,高新技术企业认定信息,单位房屋产权信息表,工贸企业安全生产标准化三级达标企业信息,组织机构代码信息,暂住证业务表,房屋建筑工程竣工验收备案信息(JKJS6),民办非企业单位信息(JKMZ1),重点建设项目计划信息
检察院,注销时间,出租屋详细信息,暂住证业务表,流动人口登记表,组织机构代码信息,企业基本信息,用电量信息表,重点建设项目计划信息,违法违章受处罚企业信息,土地交易信息表,房地产交易信息(JKJS1)
金融办,注销日期,高新技术企业认定信息,组织机构代码信息,单位房屋产权信息表,食品经营企业信息,企业基本信息,重点建设项目计划信息,违法违章受处罚企业信息,纳税信用等级纳税人备案信息,佛山市农业龙头企业信息,房屋建筑工程竣工验收备案信息(JKJS6)
文广旅体局,注册号,工商开业登记信息,内资企业设立登记公告数据,变更登记信息,统一社会信用代码,环保信用严管企业,企业用水信息(JKGZ1),对外贸易经营者备案登记情况,食品经营企业信息,法定代表人正式信息表,高新技术企业认定信息
政数局,投资日期,财政直接支付信息(JKCZ2),佛山市农业龙头企业信息,对外贸易经营者备案登记情况,房地产交易信息(JKJS1),工商开业登记信息,年度奖励扶持企业情况,企业用户基本信息,重点建设项目计划信息,企业用水信息(JKGZ1),违法违章受处罚企业信息
公安,更新时间,发改局基建工程批准立项信息,吊销登记信息,土地交易信息表,变更登记信息,工商开业登记信息,住房公积金个人公积金年度汇缴明细信息,法定代表人正式信息表,用电量信息表,国税欠税信息,工贸企业安全生产标准化三级达标企业信息
法院,性别,流动人口登记表,常住人口基本信息,暂住证业务表,流动人口表,律师基本信息采集表,人口基础信息表,住房公积金个人公积金年度汇缴明细信息,专业技术人员信息,小作坊信息（网格）,房屋建筑工程竣工验收备案信息(JKJS6)
检察院,审批日期,建设工程规划许可证信息JKGH2,高企认定或拟认定名单,高新技术企业认定信息,幼儿园,组织机构代码信息,工贸企业安全生产标准化三级达标企业信息,佛山市农业龙头企业信息,专业技术人员信息,年度奖励扶持企业情况,单位房屋产权信息表
